OSEBuildingID,DataYear,BuildingName,BuildingType,Address,ZipCode,Latitude,Longitude,Neighborhood,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,SteamUse(kBtu),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,Neighborhood_BALLARD,Neighborhood_CENTRAL,Neighborhood_DELRIDGE NEIGHBORHOODS,Neighborhood_DOWNTOWN,Neighborhood_EAST,Neighborhood_GREATER DUWAMISH,Neighborhood_LAKE UNION,Neighborhood_MAGNOLIA / QUEEN ANNE,Neighborhood_NORTH,Neighborhood_NORTHEAST,Neighborhood_NORTHWEST,Neighborhood_SHARED: BALLARD &amp; LAKE UNION,Neighborhood_SHARED: BALLARD &amp; NORTHWEST,Neighborhood_SHARED: CENTRAL &amp; EAST,Neighborhood_SHARED: GREATER DUWAMISH &amp; DELRIDGE NEIGHBORHOODS,Neighborhood_SHARED: LAKE UNION &amp; NORTHWEST,Neighborhood_SHARED: NORTH &amp; NORTHWEST,Neighborhood_SOUTHEAST,Neighborhood_SOUTHWEST,Neighborhood_water,Neighborhood_nan,EPAPropertyType_College/University,EPAPropertyType_Distribution Center,EPAPropertyType_Hospital (General Medical & Surgical),EPAPropertyType_Hotel,EPAPropertyType_K-12 School,EPAPropertyType_Laboratory,EPAPropertyType_Manufacturing/Industrial Plant,EPAPropertyType_Medical Office,EPAPropertyType_Mixed Use Property,EPAPropertyType_Multifamily HR (10+),EPAPropertyType_Multifamily Housing,EPAPropertyType_Multifamily LR (1-4),EPAPropertyType_Multifamily MR (5-9),EPAPropertyType_Non-Refrigerated Warehouse,EPAPropertyType_Office,EPAPropertyType_Other,EPAPropertyType_Parking,EPAPropertyType_Refrigerated Warehouse,EPAPropertyType_Residence Hall/Dormitory,EPAPropertyType_Retail Store,EPAPropertyType_Self-Storage Facility,EPAPropertyType_Supermarket/Grocery Store,EPAPropertyType_Worship Facility,ComplianceStatus_Compliant,ComplianceStatus_Contact the Help Desk,ComplianceStatus_Not Compliant,ComplianceIssue_Account Requires Verification,ComplianceIssue_Default Data,ComplianceIssue_Missing EUI or Utility Data,ComplianceIssue_Missing EUI or Utility Data and Account Requires Verification,"ComplianceIssue_Missing EUI, Incomplete Electricity Data","ComplianceIssue_Missing EUI, Incomplete Natural Gas Data",ComplianceIssue_No Issue,ComplianceIssue_Portfolio Manager Not Connected to the City of Seattle,ComplianceIssue_Unknown - Contact the Help Desk,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SteamUse(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,Electricity(kBtu)
1,2022,MAYFLOWER PARK HOTEL,NonResidential,405 OLIVE WAY,98101,47.6122,-122.33799,DOWNTOWN,1927,12,1,88434,65.0,82.90000153,165.6000061,Hotel,2192383.0,Compliant,No Issue,3778091.0,1362900.0,2.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6145632274879674,0.5081178907552172,0.4355627284117079,-0.016902919491773666,0.90530199033409,0.020111769486877044
2,2022,PARAMOUNT HOTEL,NonResidential,724 PINE ST,98101,47.61307,-122.33361,DOWNTOWN,1996,11,1,103566,94.0,58.0,108.0999985,Hotel,0.0,Compliant,No Issue,2383872.0,2751630.0,1.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10565443597932446,-0.06900001543201725,-0.07126984701733581,0.14367521607842776,0.30212137565592734,-0.1285056834804824
3,2022,WESTIN HOTEL (Parent Building),NonResidential,1900 5TH AVE,98101,47.61367,-122.33822,DOWNTOWN,1969,41,3,956110,80.0,73.30000305,156.8999939,Hotel,18793416.0,Compliant,No Issue,36166313.0,5700000.0,2.59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4183574714740396,0.42079733143293635,4.273370406254742,0.4845937226067772,0.7107275985024245,3.472550059153993
5,2022,HOTEL MAX,NonResidential,620 STEWART ST,98101,47.61412,-122.33664,DOWNTOWN,1926,10,1,61320,46.0,94.59999847,179.5,Hotel,1549427.0,Compliant,No Issue,2674341.0,1576250.0,3.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8536889679509329,0.6476297918907455,0.2869249012767793,0.007766631266042807,1.1922992182857963,-0.09754299903422545
8,2022,WARWICK SEATTLE HOTEL,NonResidential,401 LENORA ST,98121,47.61375,-122.34047,DOWNTOWN,1980,18,1,175580,87.0,97.59999847,169.0,Hotel,0.0,Compliant,No Issue,4688770.0,7362130.0,3.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9150032764133842,0.542243057733758,-0.07126984701733581,0.6767849595464983,1.2020279378773797,0.11718604078203364
9,2022,WEST PRECINCT (SEATTLE POLICE),Nonresidential COS,810 VIRGINIA ST,98101,47.61623,-122.33657,DOWNTOWN,1999,2,1,97288,,198.8000031,433.7999878,Other,0.0,Compliant,No Issue,6524781.0,3567310.0,3.57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.98333937650849,3.1999960024053897,-0.07126984701733581,0.23799187491196766,1.1874348584900045,0.31289652703997056
10,2022,CAMLIN WORLDMARK HOTEL,NonResidential,1619 9TH AVE,98101,47.6139,-122.33283,DOWNTOWN,1926,11,1,83008,57.0,69.0,128.6000061,Hotel,0.0,Compliant,No Issue,2660951.0,3070740.0,2.09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33047356700831254,0.13675511324964215,-0.07126984701733581,0.18057374123580677,0.4675096087128428,-0.09897031260206016
11,2022,PARAMOUNT THEATRE,NonResidential,901 PINE ST,98101,47.61327,-122.33136,DOWNTOWN,1926,8,1,102761,,52.83051646693396,114.97467933940187,Other,3988435.0,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",3885995.0,0.0,3.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.45221454920496e-16,0.0,0.8507719599941844,-0.1744943454483149,1.0512327842078388,0.031613848891181504
12,2022,COURTYARD BY MARRIOTT - PIONEER SQ,NonResidential,612 2ND AVE,98104,47.60294,-122.33263,DOWNTOWN,1904,15,1,163984,75.0,78.5,152.6999969,Hotel,0.0,Compliant,No Issue,6577831.0,6300900.0,2.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5246355438060749,0.3786426678806369,-0.07126984701733581,0.5540754805180588,0.5161532066707593,0.31855141761305733
13,2022,LYON BUILDING,Multifamily MR (5-9),607 3RD AVE,98104,47.60284,-122.33184,DOWNTOWN,1910,6,1,63712,39.0,75.5,146.8999939,Multifamily MR (5-9),1082922.0,Compliant,No Issue,2074623.0,1081430.0,2.46,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4633212353436236,0.32042901318818634,0.17907881297901102,-0.04944915081027661,0.6474909211571334,-0.1614702311682581
