PC1,PC2,PC3
1091398.7736194571,-1097616.4126709276,1107381.7661019734
-632324.4296009792,1282232.7130740662,899269.0576308408
37277548.09933565,-6762649.07365437,-494841.6475477726
-74949.6405178844,-563400.5356158225,1286623.441295931
2633471.878501853,5091246.09445218,2082282.1441788836
-303901.1610796703,1546449.653065011,924838.8677713563
3998213.6378596816,4228311.974587528,638827.0154084144
-920836.8755646069,-709371.9245308456,994739.1199671294
13993184.233007915,-1405734.0872557373,-2408434.7690085154
9651202.270918414,7250768.075431736,-134374.59209428076
15940921.54854758,8223249.24961898,-2880759.561248985
23420613.639296915,23589457.405797806,5075652.256866857
-2390042.866523508,-46250.62617127574,832545.9909724281
-1213321.1530399243,-15419.88169397111,199207.29372832598
-566023.9871306815,2949538.2577852025,2178569.041105005
-1257746.2547497894,138719.9133232237,346067.39593599754
66877.24547373131,4374030.240249479,2949500.342500135
-2055695.8935687337,-987659.3450397725,-97545.61485036404
-288556.7783744037,965965.5536600455,457872.0066417906
-2107553.3047284093,-407175.55010686454,389776.19169661426
95246.48270775657,6042869.179262416,4251320.962244527
-213915.54712134413,-975507.5500005316,-1117228.1317484293
-2280632.098956339,530298.5611101337,1226810.2473408892
1076189.7699768655,4895017.702642551,2797026.762525554
5087472.331063832,2312321.9660767526,-1485274.418260606
1032567.5425301315,-967403.6995876116,-1806856.0564441541
1301819.798858827,-1284745.1385926455,1126488.4311708128
42844127.70302939,11259379.329791088,-244981.3405376086
-701050.9872283009,619660.2963696333,414929.08102470107
-1368541.5477579825,2906441.021865847,2592775.5948374663
452347.172925137,1381345.3496395852,371027.990009142
-976463.3076590924,382044.89005140064,380367.20809103927
4549918.65792904,1164491.3103882186,-2088688.9529493358
-2033384.8991457715,1751326.2867854792,2052934.165762786
-1327595.7476211688,363521.34828275896,561730.2871014276
-1424604.821572407,649876.5626939429,843135.6592993315
14850095.266400289,26909198.03842476,12486407.115822973
-551206.1043602801,-450805.7214496314,-514323.62456638925
-1812675.5563325,669247.1023561197,1074774.9671537275
6189905.643954801,-4013118.7468731785,419559.60226704174
8815160.83518928,-412608.1326684166,-5720697.248049421
6119651.81340924,6538041.981871324,1276178.021214034
25635173.52472333,1948946.5229571317,-13251403.089101711
25796372.04073907,15962877.271099977,-2280050.775778074
-1216420.31122466,-201812.52175399824,53940.04924611468
-696255.7527983566,1092312.4535573772,784611.4564861655
-1388327.695535089,384736.8168303791,613228.2819189365
-1869273.0067639723,-806153.2567310443,-58701.483198571834
-1665977.11634706,777534.0868013267,1078543.6338811235
160886.70711437846,3147066.0453555444,1927927.5811225453
838392.4651338179,-968633.0692199242,-1699557.2812384674
-1691508.851139325,-985254.542706525,-299181.6664434386
320538.03821047535,3972469.094504732,2491197.5253921086
-1737868.7736528092,-794718.8537843758,-122810.0979183655
-1285649.3639891022,1811078.3411358134,1681935.3984880436
8903047.593842361,1220895.1447727303,-4476417.398439158
-2041211.2460756088,-472129.53111905407,301488.69376087596
-1475437.9197613755,214445.62523640494,526439.6736934317
2691472.6202342967,7629297.881815021,4053099.268115655
-1887224.6777683508,-634961.28382129,86616.39664851932
-1048555.0610863767,-981043.7958979291,-655022.5851141843
24407.991395785008,-425436.50465900125,-817328.1066635668
33314379.74083259,24576451.619545314,331120.5603205291
-1614550.0213920402,-984770.5701268752,-341695.2603707323
747.2188564138487,802724.5648624805,166101.30444023816
2507475.5985921454,761185.934584766,-1268684.7549267353
4285012.088241107,5601941.983970726,1561978.8055568389
-1378913.470445703,1130942.0804370712,1197139.8127475483
-1360993.6938506272,-100313.37571143196,214983.41631562007
-821616.8498211293,1401978.4227636452,1099554.9205949625
-925369.6040187306,382599.11330275505,351962.195804294
2749802.209604359,5223148.979095274,2120498.96469789
-1898073.1128618107,323493.6862073202,849685.1418650347
-1487218.8174208545,-258625.97314509517,160503.0204857476
