PC1,PC2,PC3,GHGIntensityCluster
1091394.076209779,-1097618.3020258292,1107393.8308673876,3
-632329.1771259311,1282230.7884692277,899281.1296768221,3
37277544.09170918,-6762650.232787522,-494833.2768764533,3
-74954.36006361472,-563402.4438933476,1286635.6159525835,3
2633467.1828496912,5091244.28292479,2082293.7632846031,3
-303905.9023830362,1546447.7376849798,924850.8874060473,3
3998208.955615674,4228310.154165027,638838.3709871363,3
-920841.6120363376,-709373.8583570428,994751.355461851,3
13993179.735507077,-1405735.7837410416,-2408424.485285276,3
9651197.665204005,7250766.368574066,-134364.12682101177,3
15940917.019310966,8223247.614178141,-2880750.1566131464,3
23420609.24989744,23589456.18070619,5075660.830635852,3
-2390047.633822508,-46252.592796872734,832558.3144127268,2
-1213325.9065414297,-15421.838413743098,199219.41400719498,2
-566028.7219159794,2949536.374432987,2178581.1361083724,3
-1257751.0070724427,138717.9602603927,346079.52584724576,3
66872.52329728102,4374028.394611143,2949512.3697712645,3
-2055700.6585786908,-987661.3299432553,-97533.38186841602,0
-288561.5157396115,965963.627459342,457883.9915176988,3
-2107558.0658048172,-407177.52108284214,389788.44476095453,1
95241.76956213584,6042867.37327644,4251333.02744719,3
-213920.28807333682,-975509.5191698296,-1117216.2243003764,0
-2280636.8581752745,530296.6105150167,1226822.5571282513,3
1076185.0646579864,4895015.878182958,2797038.6222520377,3
5087467.66316177,2312320.113684432,-1485263.3319845612,3
1032562.8168573496,-967405.6585250811,-1806844.3663881046,0
1301815.1185958262,-1284747.018656617,1126500.4578349083,3
42844123.69511751,11259378.358785339,-244974.70717832056,3
-701055.7257108607,619658.3610056122,414941.11464078806,3
-1368546.2857245952,2906439.133832132,2592787.811585689,3
452342.45091487974,1381343.4409189296,371039.8450022259,2
-976468.0493431849,382042.94743410614,380379.2796287668,2
4549913.982521985,1164489.4285901268,-2088677.8131949622,2
-2033389.6474229146,1751324.367666246,2052946.4598759965,3
-1327600.4918508658,363519.4031536087,561742.4147458712,2
-1424609.5649708828,649874.6237550981,843147.8106915791,3
14850090.801450482,26909196.827574965,12486417.243560199,3
-551210.8408001347,-450807.6785284456,-514311.6594901036,1
-1812680.303141942,669245.1612552712,1074787.1834331893,2
6189901.0699887,-4013120.5440987344,419571.1808480664,3
8815156.209041562,-412610.0151507911,-5720686.910401134,0
6119647.180906229,6538040.23793377,1276189.0347969483,3
25635169.10099242,1948944.8254422683,-13251395.590102607,0
25796367.669085044,15962875.89664009,-2280042.8896007785,3
-1216425.0488344647,-201814.4759941573,53952.122674135935,2
-696260.4797339658,1092310.5330951456,784623.4780129405,3
-1388332.4326891266,384734.87485818093,613240.4018023898,3
-1869277.7533834225,-806155.2296414729,-58689.31669369917,0
-1665981.854931717,777532.1518379474,1078555.8126268585,3
160881.99793969002,3147064.1789475447,1927939.5141386478,3
838387.7495717872,-968635.0246427011,-1699545.5890003354,0
-1691513.595577224,-985256.5180329898,-299169.5378167386,0
320533.33469375595,3972467.2486357177,2491209.4537236863,3
-1737873.5169950796,-794720.8247092013,-122797.9579680995,0
-1285654.0924885194,1811076.4336777378,1681947.5370520172,3
8903042.980503859,1220893.3028831864,-4476407.0398540925,3
-2041215.9900392382,-472131.49629248015,301500.8915400361,1
-1475442.654635739,214443.680276517,526451.7930408636,1
2691467.9591631065,7629296.139166681,4053110.8895521113,3
-1887229.41995075,-634963.2512935614,86628.56125403615,0
-1048559.7946676937,-981045.7647285103,-655010.5762418958,0
24403.272849467678,-425438.45210512396,-817316.2696497604,0
33314375.49158727,24576450.50321324,331127.3972319561,3
-1614554.7599350468,-984772.5427981843,-341683.15763028874,0
742.5089362899852,802722.6472676487,166113.1711083662,2
2507470.917488295,761184.0355587923,-1268673.324413102,0
4285007.445514085,5601940.2101181215,1561990.0725212628,3
-1378918.1935178072,1130940.1602914159,1197151.9246634962,3
-1360998.4208141693,-100315.32386050327,214995.4876651072,2
-821621.565169351,1401976.5133088026,1099566.9431752237,3
-925374.323132937,382597.1800832513,351974.20275221945,2
2749797.549883396,5223147.185456065,2120510.4807127756,3
-1898077.842194287,323491.74455658364,849697.3129523091,2
-1487223.5438770913,-258627.92487604075,160515.1025610705,2
897216.8555498611,515578.78356301185,-567204.6294966772,0
125173597.94941609,109606106.69575758,16172388.08477395,3
-1680786.3278059918,219593.64069063496,646409.8621035697,3
4338374.623634386,696774.6442506636,-2341297.7714934708,1
543018.4970345425,6755775.909006108,4564293.001832179,3
-566449.8445263599,3440208.585432068,2566001.818054637,3
666106.9901076932,4295215.81892679,2552240.2258878592,3
-666694.2166825371,3630166.9262268497,2771758.640249617,3
-1635035.424825106,2116817.9539756,2116254.992871431,2
-2815878.603402021,-992570.9083340525,322913.2724000336,0
-2718435.58826078,-991926.4034347272,268958.6742202874,0
5721591.240922518,6440136.796725145,1419813.110814987,2
-2549507.0042581214,613154.5255491141,1442505.5475384272,3
-300100.43420040613,3016973.0281146807,2083165.1871962298,3
-1783777.649849205,561335.3784928119,973614.188698854,3
442534.65252781124,728618.7613580663,-138584.02260086293,2
-964407.8568927582,2134107.5432042824,1757149.5300634403,3
2862214.812701092,3135371.487285811,409452.18567447545,3
-1464383.7968729383,700926.0995298534,905480.1305030454,3
2679720.768714094,414357.5391931466,-1635580.1311193574,2
-2208590.629693461,-532626.3137394062,347093.6428434336,1
-2303838.780025929,-989274.6408826524,39751.57480716841,0
-1668639.527704687,1959296.8073984403,2013246.2539958088,3
1624135.230981021,169983.1562984246,-1240290.0167165291,1
-1810539.1729307263,-985968.4064144845,-233561.93054858054,0
831153.1061075133,3420323.7039575875,1768239.6076498288,2
-1765905.919797928,-985770.5243307011,-257891.553132721,0
67518893.7177007,68229358.90502772,15699747.706653204,3
-1291555.618753975,-85889.56754839006,187530.0565187278,2
150388662.97815186,-69830494.11579226,42558011.63725011,3
2243312.5612090705,2943779.1201232746,603768.1340583685,2
-1403318.6382947592,999966.4280232006,1107777.6205979495,3
467224.34208829276,3305281.285378386,1882786.2365859295,3
-1016183.1405595362,176090.8136044348,240967.36850006407,3
-2018917.5617781612,468975.64473678084,1032165.812472304,3
-1338188.3311041575,-959163.6166683536,-476311.704119114,0
3277673.7017745245,2789253.4125850336,-96892.96488394395,2
-1459607.7555989493,542444.6519095331,777530.6731411589,2
