OSEBuildingID,DataYear,BuildingName,BuildingType,Address,ZipCode,Latitude,Longitude,Neighborhood,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,SteamUse(kBtu),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,GHGIntensityCluster
1,2022,MAYFLOWER PARK HOTEL,NonResidential,405 OLIVE WAY,98101,47.6122,-122.33799,DOWNTOWN,1927,12,1,88434,65.0,82.90000153,165.6000061,Hotel,2192383.0,Compliant,No Issue,3778091.0,1362900.0,2.99,3
2,2022,PARAMOUNT HOTEL,NonResidential,724 PINE ST,98101,47.61307,-122.33361,DOWNTOWN,1996,11,1,103566,94.0,58.0,108.0999985,Hotel,0.0,Compliant,No Issue,2383872.0,2751630.0,1.75,3
3,2022,WESTIN HOTEL (Parent Building),NonResidential,1900 5TH AVE,98101,47.61367,-122.33822,DOWNTOWN,1969,41,3,956110,80.0,73.30000305,156.8999939,Hotel,18793416.0,Compliant,No Issue,36166313.0,5700000.0,2.59,3
5,2022,HOTEL MAX,NonResidential,620 STEWART ST,98101,47.61412,-122.33664,DOWNTOWN,1926,10,1,61320,46.0,94.59999847,179.5,Hotel,1549427.0,Compliant,No Issue,2674341.0,1576250.0,3.58,3
8,2022,WARWICK SEATTLE HOTEL,NonResidential,401 LENORA ST,98121,47.61375,-122.34047,DOWNTOWN,1980,18,1,175580,87.0,97.59999847,169.0,Hotel,0.0,Compliant,No Issue,4688770.0,7362130.0,3.6,3
9,2022,WEST PRECINCT (SEATTLE POLICE),Nonresidential COS,810 VIRGINIA ST,98101,47.61623,-122.33657,DOWNTOWN,1999,2,1,97288,,198.8000031,433.7999878,Police Station,0.0,Compliant,No Issue,6524781.0,3567310.0,3.57,3
10,2022,CAMLIN WORLDMARK HOTEL,NonResidential,1619 9TH AVE,98101,47.6139,-122.33283,DOWNTOWN,1926,11,1,83008,57.0,69.0,128.6000061,Hotel,0.0,Compliant,No Issue,2660951.0,3070740.0,2.09,3
11,2022,PARAMOUNT THEATRE,NonResidential,901 PINE ST,98101,47.61327,-122.33136,DOWNTOWN,1926,8,1,102761,,52.83051646693396,114.97467933940187,Other - Entertainment/Public Assembly,3988435.0,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",3885995.0,0.0,3.29,3
12,2022,COURTYARD BY MARRIOTT - PIONEER SQ,NonResidential,612 2ND AVE,98104,47.60294,-122.33263,DOWNTOWN,1904,15,1,163984,75.0,78.5,152.6999969,Hotel,0.0,Compliant,No Issue,6577831.0,6300900.0,2.19,3
13,2022,LYON BUILDING,Multifamily MR (5-9),607 3RD AVE,98104,47.60284,-122.33184,DOWNTOWN,1910,6,1,63712,39.0,75.5,146.8999939,Multifamily MR (5-9),1082922.0,Compliant,No Issue,2074623.0,1081430.0,2.46,3
15,2022,HOTEL MONACO,NonResidential,1101 4TH AVE,98101,47.60695,-122.33414,DOWNTOWN,1969,11,1,153163,,52.83051646693396,114.97467933940187,Hotel,0.0,Not Compliant,Missing EUI or Utility Data,3589417.256894049,0.0,1.1289082462253193,2
16,2022,W SEATTLE HOTEL,NonResidential,1112 4TH AVE,98101,47.60738,-122.33362,DOWNTOWN,1998,25,1,333176,69.0,84.30000305,191.6000061,Hotel,5022234.0,Compliant,No Issue,16764190.0,2848830.0,2.29,3
17,2022,EXECUTIVE HOTEL PACIFIC,NonResidential,400 SPRING ST,98104,47.60699,-122.33346,DOWNTOWN,1928,9,1,65009,,52.83051646693396,114.97467933940187,Other,0.0,Not Compliant,Portfolio Manager Not Connected to the City of Seattle,3589417.256894049,0.0,1.1289082462253193,2
18,2022,CROWNE PLAZA,NonResidential,1113 6TH AVE,98101,47.60809,-122.33212,DOWNTOWN,1980,33,1,353111,81.0,73.90000153,148.1999969,Hotel,0.0,Compliant,No Issue,11912138.0,9934500.0,1.94,3
19,2022,HOTEL VINTAGE PARK,NonResidential,1100 5TH AVE,98101,47.60755,-122.33244,DOWNTOWN,1922,11,1,92190,,52.83051646693396,114.97467933940187,Other,0.0,Not Compliant,Portfolio Manager Not Connected to the City of Seattle,3589417.256894049,0.0,1.1289082462253193,2
21,2022,CENTRAL - SEATTLE PUBLIC LIBRARY,Nonresidential COS,1000 4TH AVE,98104,47.60649,-122.33297,DOWNTOWN,2004,11,1,412000,,38.0,104.0,Library,559218.0,Compliant,No Issue,13348887.0,0.0,0.27,0
22,2022,DOWNTOWN SEATTLE YMCA,NonResidential,909 4TH AVE,98104,47.60546,-122.33279,DOWNTOWN,1930,6,1,103911,,52.83051646693396,114.97467933940187,Fitness Center/Health Club/Gym,3322721.0,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",4391019.0,0.0,2.75,3
23,2022,RENAISSANCE MADISON HOTEL,NonResidential,515 MADISON ST,98104,47.60681,-122.33078,DOWNTOWN,1983,28,1,460902,60.0,79.30000305,170.6000061,Hotel,0.0,Compliant,No Issue,18750028.0,11067950.0,1.76,3
