PC1,PC2,PC3,GHGIntensityCluster
1091394.0762097784,-1097618.3020258283,1107393.8308673901,3
-632329.1771259308,1282230.7884692312,899281.1296768198,3
37277544.091709204,-6762650.232787548,-494833.2768764397,3
-74954.36006361526,-563402.4438933453,1286635.615952585,3
2633467.1828496964,5091244.282924797,2082293.7632845934,3
-303905.90238303505,1546447.7376849833,924850.8874060445,3
3998208.95561568,4228310.1541650295,638838.3709871277,3
-920841.612036339,-709373.8583570407,994751.3554618529,3
13993179.735507088,-1405735.7837410553,-2408424.4852852747,3
9651197.665204016,7250766.368574066,-134364.1268210275,3
15940917.019310987,8223247.614178132,-2880750.156613164,3
23420609.249897473,23589456.180706207,5075660.830635802,3
-2390047.63382251,-46252.59279686969,832558.3144127273,2
-1213325.9065414304,-15421.838413742138,199219.41400719516,2
-566028.721915978,2949536.3744329945,2178581.1361083672,3
-1257751.0070724431,138717.96026039415,346079.5258472457,3
66872.5232972838,4374028.394611153,2949512.3697712566,3
-2055700.6585786927,-987661.3299432552,-97533.381868414,0
-288561.5157396109,965963.6274593439,457883.99151769705,3
-2107558.0658048186,-407177.5210828405,389788.4447609557,1
95241.76956213918,6042867.373276454,4251333.027447179,3
-213920.28807333717,-975509.5191698326,-1117216.2243003747,0
-2280636.858175276,530296.6105150209,1226822.5571282508,3
1076185.0646579904,4895015.878182967,2797038.622252029,3
5087467.663161777,2312320.113684428,-1485263.3319845665,3
1032562.8168573505,-967405.6585250865,-1806844.3663881035,0
1301815.118595826,-1284747.018656616,1126500.4578349118,3
42844123.69511755,11259378.358785322,-244974.70717834414,3
-701055.7257108605,619658.3610056139,414941.1146407869,3
-1368546.2857245947,2906439.1338321404,2592787.811585684,3
452342.45091488166,1381343.4409189313,371039.84500222304,2
-976468.0493431855,382042.94743410766,380379.27962876623,2
4549913.982521988,1164489.4285901207,-2088677.8131949655,2
-2033389.6474229153,1751324.367666253,2052946.459875994,3
-1327600.4918508665,363519.40315361077,561742.4147458706,2
-1424609.5649708835,649874.623755101,843147.8106915782,3
14850090.801450508,26909196.827575002,12486417.243560147,3
-551210.8408001349,-450807.6785284468,-514311.6594901028,1
-1812680.3031419427,669245.161255275,1074787.1834331886,2
6189901.0699887015,-4013120.544098739,419571.1808480745,3
8815156.209041571,-412610.01515080873,-5720686.910401136,0
6119647.180906238,6538040.2379337745,1276189.0347969355,3
25635169.10099244,1948944.825442227,-13251395.590102617,0
25796367.669085074,15962875.896640081,-2280042.889600814,3
-1216425.0488344654,-201814.4759941568,53952.12267413654,2
-696260.4797339654,1092310.5330951484,784623.4780129384,3
-1388332.4326891273,384734.8748581832,613240.4018023892,3
-1869277.7533834241,-806155.2296414727,-58689.316693697474,0
-1665981.8549317175,777532.1518379512,1078555.812626857,3
160881.99793969234,3147064.178947551,1927939.5141386418,3
838387.7495717877,-968635.024642706,-1699545.589000334,0
-1691513.5955772253,-985256.5180329904,-299169.5378167366,0
320533.33469375875,3972467.248635726,2491209.453723679,3
-1737873.5169950812,-794720.8247092013,-122797.95796809788,0
-1285654.0924885194,1811076.4336777437,1681947.537052014,3
8903042.98050387,1220893.3028831729,-4476407.039854098,3
-2041215.9900392396,-472131.49629247875,301500.89154003724,1
-1475442.6546357397,214443.68027651904,526451.7930408632,1
2691467.959163113,7629296.139166694,4053110.889552097,3
-1887229.4199507516,-634963.2512935607,86628.56125403754,0
-1048559.7946676947,-981045.7647285119,-655010.576241894,0
